poleid,created_at,created_by,pole_owner,pole_number,pole_type,extension_arm,polesiteid,loc_lat,loc_long,link,province,municipality,barangay,distance,position,remarks,photoWhole,photoTags,photoAttachments
105378,30/05/2026 10:09,ssotto,Meralco,NPT,Concrete,None,102480,14.7084712,120.9936731,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,50,Right,"#23
paso de blas
pure gold",https://polesites2.nexlogic.ph/media/photos/e13c0147b25842a086a47a9cd82a45ba.png,https://polesites2.nexlogic.ph/media/photos/2c3fc3b0f4584c1f82fe503be3099e53.png,https://polesites2.nexlogic.ph/media/photos/f2adde499b3a438e98a435d40fd23785.png
105379,30/05/2026 10:12,jesoliman,Meralco,npt,Concrete,Double Tubular,102481,14.7089704,120.9932248,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,55,Left,24),https://polesites2.nexlogic.ph/media/photos/e1d19590504a4c09af1675e344be39b4.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/686bd1b708134e6a9146c57889932d7d.png
105380,30/05/2026 10:15,jesoliman,Meralco,npt,Concrete,None,102482,14.7089689,120.9934457,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,50,Left,25).paso de blas rd front of mayumi beauty lounge ,https://polesites2.nexlogic.ph/media/photos/f300da570871411fb4ed4d1664f733a9.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/7ec3dbc636b2401cac55fd9c4298e9e0.png
105381,30/05/2026 10:24,ssotto,Meralco,r5-0010-t,Concrete,Single Tubular,102483,14.709328,120.9939815,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,54,Left,"#26
LOTTO",https://polesites2.nexlogic.ph/media/photos/7e15ddac21dc4ebe83b734cefb79495f.png,https://polesites2.nexlogic.ph/media/photos/608e526b7b204b37ae80b7d7756a45c0.png,https://polesites2.nexlogic.ph/media/photos/3215282ef1c440fbb04da2879362e03a.png
105383,30/05/2026 10:25,jesoliman,Meralco,s5-0872,Concrete,Single Tubular,102485,14.70964572,120.9943512,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,59,Left,27).paso de blas rd beside bluemoon enterprise ,https://polesites2.nexlogic.ph/media/photos/787b1d714d1a4702bf08ea0532bdd29a.png,https://polesites2.nexlogic.ph/media/photos/73082a7bddde47b58154711e39bf3179.png,https://polesites2.nexlogic.ph/media/photos/6e21d415268a4fad8c6bd17d682081b7.png
105384,30/05/2026 10:29,jesoliman,Meralco,npt,Concrete,Single Tubular,102486,14.71037348,120.9950991,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,56,Left,29)paso de blas rd near LA moto,https://polesites2.nexlogic.ph/media/photos/481ee7a9c65b4f358e7f40790d7620dd.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/de25fc373ef2484181f836cb89b0cf15.png
105385,30/05/2026 10:29,ssotto,Meralco,r5-009-t,Concrete,None,102487,12.01190121,120.9010007,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,56,Left,"#28
sr. pedro",https://polesites2.nexlogic.ph/media/photos/52cea66680ed4c08bd9bb5661543bb85.png,https://polesites2.nexlogic.ph/media/photos/c44353c5412b428d9d57d2609b194b3e.png,https://polesites2.nexlogic.ph/media/photos/a5523ff48f2c48b29aa727e7b1ad37eb.png
105386,30/05/2026 10:32,jesoliman,Meralco,R5-8T,Concrete,Single Tubular,102488,14.71055,120.9952555,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,44,Left,30).paso de blas rd beside PLDT CABINET,https://polesites2.nexlogic.ph/media/photos/d6b291a4304e4f2ca6110b6781b1d436.png,https://polesites2.nexlogic.ph/media/photos/3707681d94fe4711b9d64ab2f3553661.png,https://polesites2.nexlogic.ph/media/photos/b9532e8ddca54331850ab0bce713af87.png
105390,30/05/2026 10:36,jesoliman,Meralco,TLN-509614,Concrete,Single Tubular,102492,14.7111562,120.9959018,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,54,Left,32)paso de blas rd BESIDE pagong PAGasa comp.,https://polesites2.nexlogic.ph/media/photos/947b343af3f14bdfa3dc25ad59c1c924.png,https://polesites2.nexlogic.ph/media/photos/8fbe330105c64efb9996d4fffbf9d9a4.png,https://polesites2.nexlogic.ph/media/photos/8e19e7a6bb6a403f832ac2aadc97ff02.png
105391,30/05/2026 10:44,jesoliman,Meralco,r5-0008T,Concrete,Single Tubular,102493,14.71162884,120.9965473,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,32,Left,34).paso de blas rd front of. migoys burger,https://polesites2.nexlogic.ph/media/photos/640f50702aa54acdba4ac4a706ad4425.png,https://polesites2.nexlogic.ph/media/photos/29a8a13758d24e29ad5e1e9557297a4c.png,https://polesites2.nexlogic.ph/media/photos/991dfb057bb34137977c707c7242036b.png
105394,30/05/2026 10:51,jesoliman,Meralco,R5-117T,Concrete,None,102496,14.71241417,120.9975836,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,45,Left,37).paso de blas rd beside junkshop,https://polesites2.nexlogic.ph/media/photos/884658bf4fe14032b004cd3cc219ae5f.png,https://polesites2.nexlogic.ph/media/photos/db2c655b4d4a41c49ad49a28de21031e.png,https://polesites2.nexlogic.ph/media/photos/24d63a33cc194867bcfae71c72289ef2.png
105395,30/05/2026 10:54,jesoliman,Meralco,r5-0007,Concrete,Single Tubular,102497,14.71294182,120.9983169,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,59,Left,39).paso de blas rd front of sto.rosario clinic ,https://polesites2.nexlogic.ph/media/photos/45e5037563bc46cab13be717b949f29b.png,https://polesites2.nexlogic.ph/media/photos/1445625e5e1d4c6a87a31ea27f7d804f.png,https://polesites2.nexlogic.ph/media/photos/e7dde0dd7c5247cda401b56ead7a50c8.png
105396,30/05/2026 10:56,jesoliman,Meralco,r5-0003T,Concrete,Single Tubular,102498,14.71325036,120.9987656,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,62,Left,40).paso de blas rd front of. metro bank ,https://polesites2.nexlogic.ph/media/photos/64db8c64ba83417692e348079e42dfda.png,https://polesites2.nexlogic.ph/media/photos/cd47a880794041aba12275a6202b83b3.png,https://polesites2.nexlogic.ph/media/photos/39f045797bf6416cbeb4afd7d9184b69.png
105397,30/05/2026 10:58,jesoliman,Meralco,npt,Concrete,Single Tubular,102499,14.71355625,120.9991972,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,58,Left,41).,https://polesites2.nexlogic.ph/media/photos/4454eb54609c4372a5745cf60f4ce9ff.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/4f976549157142ef83e66f97eb6d0c6c.png
105398,30/05/2026 11:00,jesoliman,Meralco,npt,Concrete,Single Tubular,102500,14.71404138,120.9998782,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,39,Left,43).paso de blas rd beside pharmacy ,https://polesites2.nexlogic.ph/media/photos/35b2eafb97a2462bae9eb8de1f335a9b.png,https://polesites2.nexlogic.ph/media/photos/abe01568e853421d9ef4119cdaf57460.png,https://polesites2.nexlogic.ph/media/photos/992879dd2d344004bd5feae6486abaae.png
105399,30/05/2026 11:02,jesoliman,Meralco,r5-29T,Concrete,None,102501,14.71429628,121.0002038,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,43,Left,44).paso de blas rd beside lechon pares bulalohan ,https://polesites2.nexlogic.ph/media/photos/cc2cd15ec30441f08aa4f0694eecbf34.png,https://polesites2.nexlogic.ph/media/photos/6f8b6ce1658947c5aed366231dfac074.png,https://polesites2.nexlogic.ph/media/photos/7f02344f2530421e8e2e36d2e3fd6d6d.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
105404,30/05/2026 10:34,ssotto,Meralco,r5-1286,Concrete,Single Tubular,102506,14.71079596,120.9954415,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,33,Left,"#31
brngy. hall paso de blas",https://polesites2.nexlogic.ph/media/photos/4077c51b774a420690a984ebf5ca58c3.png,https://polesites2.nexlogic.ph/media/photos/41091dbd72c14256b08ff2cfb6dfc28a.png,https://polesites2.nexlogic.ph/media/photos/f1c2877374224206982ba6c4623c9ff6.png
105405,30/05/2026 10:42,ssotto,Meralco,NPT,Concrete,Single Tubular,102507,14.71151555,120.9963424,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,60,Left,"#33
BODEGA",https://polesites2.nexlogic.ph/media/photos/9f8a69febaa5458ba2a295458b8c66c6.png,https://polesites2.nexlogic.ph/media/photos/01b6f0eb4dc9458cbedccb558d2fc311.png,https://polesites2.nexlogic.ph/media/photos/f2cd50c9ee8146e28f9948369d499bf8.png
105406,30/05/2026 10:45,ssotto,Meralco,r5-0017,Wooden,Single Tubular,102508,14.7118984,120.9968549,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,50,Left,"#35
MOTOLITE",https://polesites2.nexlogic.ph/media/photos/bba57aa16023441db8fccf8182d61492.png,https://polesites2.nexlogic.ph/media/photos/e9e98eb083d14a64b64d720b14026186.png,https://polesites2.nexlogic.ph/media/photos/190037ef26bc486f8b40a7ef6d53fe77.png
105407,30/05/2026 10:48,ssotto,Meralco,NPT,Concrete,Single Tubular,102509,14.71219479,120.9972473,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,47,Left,"#36
PREMIO",https://polesites2.nexlogic.ph/media/photos/ec53d7d5bca0433593b2beb8e0723ebf.png,https://polesites2.nexlogic.ph/media/photos/60f937d31f354bdfa955d416e61f8ba6.png,https://polesites2.nexlogic.ph/media/photos/db5b0135755c4e3ebaf19037ca436086.png
105408,30/05/2026 10:54,ssotto,Meralco,R5-0086T,Wooden,None,102510,14.71267206,120.9978691,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,48,Left,"#38
MOTOR TRADE",https://polesites2.nexlogic.ph/media/photos/cc9ed57352b9460c955fe32b2d2e3190.png,https://polesites2.nexlogic.ph/media/photos/a51635720a654b38b5617cc883a11fcb.png,https://polesites2.nexlogic.ph/media/photos/42a0c2e4eb034f61940352b0a4c21693.png
105409,30/05/2026 11:00,ssotto,Meralco,r5-401,Concrete,Single Tubular,102511,14.71388691,120.9995044,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,53,Left,#42,https://polesites2.nexlogic.ph/media/photos/ae887ea8de754e2d9ec9ad55f2f07173.png,https://polesites2.nexlogic.ph/media/photos/ecce621a785a47f7ac4b049b1929af46.png,https://polesites2.nexlogic.ph/media/photos/e89ea5a45ad349eab8525c13755b61ab.png
