poleid,created_at,created_by,pole_owner,pole_number,pole_type,extension_arm,polesiteid,loc_lat,loc_long,link,province,municipality,barangay,distance,position,remarks,photoWhole,photoTags,photoAttachments
105425,2026-06-01 10:49:11,jesoliman,Meralco,r5-4120,Concrete,Single Tubular,102527,14.7195201679171,120.997622731618,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,36,Left,12)ALONG ITC ROAD beside steel mating gate,https://polesites2.nexlogic.ph/media/photos/14480ad64cc94259a80fbb7719976089.png,https://polesites2.nexlogic.ph/media/photos/0d5ebae78b194334bd7041c22d445687.png,https://polesites2.nexlogic.ph/media/photos/2b2bc5340aea4cf1ade3f617c72aea56.png
105426,2026-06-01 10:48:32,ssotto,Meralco,r5-5119,Concrete,Single Tubular,102528,14.7192824823319,120.997718193535,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,75,Left,"#11
rosco mashine shop &mfg. corp.",https://polesites2.nexlogic.ph/media/photos/a5e11494697e4f3ba3e1df7236fa7307.png,https://polesites2.nexlogic.ph/media/photos/21224e2b4ce14d888ad783d89417433c.png,https://polesites2.nexlogic.ph/media/photos/f340a7a4e5be49879bb1c53f71442143.png
105428,2026-06-01 10:51:51,jesoliman,Meralco,r5-5122,Concrete,Single Tubular,102530,14.7201115244677,120.997374064251,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,41,Right,14)ALONG ITC ROAD ,https://polesites2.nexlogic.ph/media/photos/3cb2ff407b8441f29fb5359aabb51142.png,https://polesites2.nexlogic.ph/media/photos/421ce4bfbbe146f994380ac7f5242bac.png,https://polesites2.nexlogic.ph/media/photos/c75c13f505ac417aaf1c3e404f0ebeda.png
105429,2026-06-01 10:52:27,ssotto,Meralco,r5-5121,Concrete,None,102531,14.7197926689949,120.997547476903,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,kanumay east,30,Right,"#13
crown asia chemical corp.",https://polesites2.nexlogic.ph/media/photos/5245a53ae72f4cc7af35700d11345488.png,https://polesites2.nexlogic.ph/media/photos/f919c1b1864c49c698c92b3282158af8.png,https://polesites2.nexlogic.ph/media/photos/04e77556892e49ab820229c8c47920d0.png
105430,2026-06-01 10:55:27,jesoliman,Meralco,r5-5123,Concrete,Single Tubular,102532,14.7204292323472,120.997200301235,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),44,Right,15)ALONG ITC ROAD ,https://polesites2.nexlogic.ph/media/photos/800347755bf849bebc29f74dcfc02356.png,https://polesites2.nexlogic.ph/media/photos/a25f87bb4ccd4b9ba90dfa764ef5d794.png,https://polesites2.nexlogic.ph/media/photos/7db781409ef244ceb420663eaf779059.png
105431,2026-06-01 10:56:41,ssotto,Meralco,r5-5124,Concrete,Single Tubular,102533,14.7207991966642,120.997032442253,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,kanumay east,43,Right,"#16
None",https://polesites2.nexlogic.ph/media/photos/33b33c92512140c3aadac46d63295122.png,https://polesites2.nexlogic.ph/media/photos/bfb432659a1040318da5be35fee8d7c9.png,https://polesites2.nexlogic.ph/media/photos/c4d22f2fc34a4bef8ed191aacc9b885f.png
105432,2026-06-01 10:58:32,jesoliman,Meralco,s5-0170,Concrete,Double Tubular,102534,14.7213100758868,120.996726934144,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),68,Right,17)ALONG ITC ROAD beside green gate ,https://polesites2.nexlogic.ph/media/photos/5da54db12d8246fdbc48a656d7aa5fe1.png,https://polesites2.nexlogic.ph/media/photos/72657df7710840f59fe6a6862f0168c2.png,https://polesites2.nexlogic.ph/media/photos/afb0d2ec49fe44729baccea94e3ad6c0.png
105433,2026-06-01 11:00:00,ssotto,Meralco,r5-5126,Concrete,Single Tubular,102535,14.7216095780475,120.996674546775,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,kanumay east,34,Right,#18,https://polesites2.nexlogic.ph/media/photos/a06d20e5f539420bbe9dbdba8e41d0c8.png,https://polesites2.nexlogic.ph/media/photos/ad78dfddd1064c7c8d31d134d8128b3e.png,https://polesites2.nexlogic.ph/media/photos/3accfb29bb334440b85a3ac3c0268071.png
105434,2026-06-01 11:01:58,jesoliman,Meralco,npt,Concrete,Single Tubular,102536,14.7221223585546,120.996695855041,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),65,Right,19).ALONG ITC ROAD beside n#52 gray gate,https://polesites2.nexlogic.ph/media/photos/c3b9ad77f55b42718c9b4ebc8850b261.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/e12c788ffe464b24a6a386c3cf3f9bc7.png
105435,2026-06-01 11:03:31,ssotto,Meralco,r5-5129,Concrete,Single Tubular,102537,14.722387851414,120.996754032639,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,kanumay east,26,Right,"#20
LACKO PLSTIC",https://polesites2.nexlogic.ph/media/photos/6afbd729065843eda5d9982d7d31afc3.png,https://polesites2.nexlogic.ph/media/photos/1691f8838b0742ec8eed9d4acd6f5894.png,https://polesites2.nexlogic.ph/media/photos/097d33f62ed64bc5992b6c693432ae26.png
105436,2026-06-01 11:07:02,jesoliman,Meralco,s5-0186,Concrete,Double Tubular,102538,14.7227823163962,120.996832098285,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),49,Left,21)ALONG ITC ROAD beside green gate ,https://polesites2.nexlogic.ph/media/photos/d7c3b5564b2e4dc6b776034ec069af51.png,https://polesites2.nexlogic.ph/media/photos/5731b91d964049108c8e52e75024d340.png,https://polesites2.nexlogic.ph/media/photos/248ae99af10a40ab8f2468c8eda3952b.png
105437,2026-06-01 11:07:21,ssotto,Meralco,TLN-041734,Concrete,None,102539,14.7231264809231,120.997043271481,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,kanumay east,46,Left,"#22
purestar import & export inc.",https://polesites2.nexlogic.ph/media/photos/61026e515b2d4005ad9a7c16290c3707.png,https://polesites2.nexlogic.ph/media/photos/25e34d7d0ff544a4a598ba49512bfe92.png,https://polesites2.nexlogic.ph/media/photos/926dcbf3b0ce4e56a95e06382e83b13a.png
105438,2026-06-01 11:09:26,jesoliman,Meralco,s5-0174,Concrete,Single Tubular,102540,14.7233987,120.9972438,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),45,Left,24)ALONG ITC ROAD ,https://polesites2.nexlogic.ph/media/photos/adc5c456c14d4628a894c9ba005490b0.png,https://polesites2.nexlogic.ph/media/photos/6d0e811f159b41c0a7a6321ea5dcf6c3.png,https://polesites2.nexlogic.ph/media/photos/975effb69da04aaa9b230c126cb80d3f.png
105439,2026-06-01 11:10:55,ssotto,Meralco,r5-1199,Concrete,Single Tubular,102541,14.7237449898231,120.99745644294,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,kanumay east,33,Left,"#24
res#175",https://polesites2.nexlogic.ph/media/photos/7be99a444c3b43b496fe2e1e9bd0b4d8.png,https://polesites2.nexlogic.ph/media/photos/4ec047e1be644c84828360c13df6636e.png,https://polesites2.nexlogic.ph/media/photos/d6a37a058e46452e8250edb69d1ba090.png
105440,2026-06-01 11:13:50,jesoliman,Meralco,s5-6000,Concrete,Single Tubular,102542,14.7241024896996,120.997709357742,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),27,Left,26)ALONG ITC ROAD ,https://polesites2.nexlogic.ph/media/photos/f1e8f5e03f8646608570ae368120db33.png,https://polesites2.nexlogic.ph/media/photos/d5638e72d7464bb586337e0e44217931.png,https://polesites2.nexlogic.ph/media/photos/534b591e18cc4e5dbf25c72f120bb76c.png
105441,2026-06-01 11:14:12,ssotto,Meralco,r5-5241,Concrete,Double Tubular,102543,14.723905216047,120.997548898816,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,23,Left,"#25
itc compound bagbaguin",https://polesites2.nexlogic.ph/media/photos/a567a125b01548e5b689e5a61c07e982.png,https://polesites2.nexlogic.ph/media/photos/142f2973b4e14e9ba8c99eef7d86b538.png,https://polesites2.nexlogic.ph/media/photos/4de8524dde2a4c9bb3d3845a916a5f07.png
105442,2026-06-01 11:15:26,jesoliman,Meralco,npt,Concrete,None,102544,14.7242199182335,120.997837605759,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),26,Left,27)ALONG ITC ROAD beside brown gate,https://polesites2.nexlogic.ph/media/photos/eb69611b5ed04c6497e2692b83ae2d9a.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/be459535f46f4b2d8e94d41bb912968f.png
105443,2026-06-01 11:17:37,ssotto,Meralco,r5-5233,Concrete,Single Tubular,102545,14.7245188945838,120.998329176402,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,59,Left,"#28
ledway corp.",https://polesites2.nexlogic.ph/media/photos/68b6db392f5748c099f99707d2521be5.png,https://polesites2.nexlogic.ph/media/photos/cbd6ab1597a84a69baa7e2226fa6f8df.png,https://polesites2.nexlogic.ph/media/photos/7b4d37d86a4747c7927afd4acb6878c2.png
105444,2026-06-01 11:18:06,jesoliman,Meralco,TLN-063276,Concrete,Single Tubular,102546,14.7246686170422,120.998605646742,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),36,Left,29)ALONG ITC ROAD front of ira corpo,https://polesites2.nexlogic.ph/media/photos/234df15b8f3e4ad5a908bba4884e0233.png,https://polesites2.nexlogic.ph/media/photos/db187da491f94d74ad2c2086b79ac8ef.png,https://polesites2.nexlogic.ph/media/photos/83332d191424499d8c822e49335edd3a.png
105445,2026-06-01 11:21:58,ssotto,Meralco,s5-0107,Concrete,None,102547,14.7249766747627,120.999116440271,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,66,Left,"#30
none",https://polesites2.nexlogic.ph/media/photos/4138817b47a54d7aa80ee2d6764a83da.png,https://polesites2.nexlogic.ph/media/photos/a24ef316e2f648449e07891b096e5d01.png,https://polesites2.nexlogic.ph/media/photos/f101f022dc21480797dda67065856ae3.png
105446,2026-06-01 11:22:55,jesoliman,Meralco,npt,Concrete,Single Tubular,102548,14.7252855619007,120.999146359161,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),17,Right,31)ALONG P.JACINTO CROSSING ITC,https://polesites2.nexlogic.ph/media/photos/41b875c2a8ed47048832d0ae6077de39.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/7daa0ee7bb164a54ba3c53122bce75d3.png
105447,2026-06-01 13:05:12,Arcenasangelo,Meralco,R5-0436,Concrete,Single Tubular,102549,14.7074776078365,121.008461633416,Valenzuela Pole Survey,Manila,Valenzuela,mapulang lupa,51,Right,"6015
",https://polesites2.nexlogic.ph/media/photos/18f433b485ae45938262b06800057c5c.png,https://polesites2.nexlogic.ph/media/photos/a802b6545409474fbfeda9c6460cf37b.png,https://polesites2.nexlogic.ph/media/photos/6b592c1f038341caaebaae4fa0b7c893.png
105448,2026-06-01 13:09:38,jjuanillas,Meralco,Q5-5128,Concrete,Double Tubular,102550,14.7073380330367,121.008888460352,Valenzuela Pole Survey,metro manila ,valenzuela city ,mapulang lupa,49,Left,tulco inc,https://polesites2.nexlogic.ph/media/photos/bdb294d13abf48c98b3cb4c56f68c257.png,https://polesites2.nexlogic.ph/media/photos/5f8e088680a444458b17aef661f88fc2.png,https://polesites2.nexlogic.ph/media/photos/cdc361a5c8a242c29d94596099f82807.png
105449,2026-06-01 13:18:02,jjuanillas,Meralco,Q5-5131,Concrete,Double Tubular,102551,14.7062050966229,121.008758036441,Valenzuela Pole Survey,metro manila ,valenzuela city ,mapulang lupa ,51,Left,st.number 5118 likod,https://polesites2.nexlogic.ph/media/photos/6bc04f74f07f406aa12058586d1b468e.png,https://polesites2.nexlogic.ph/media/photos/0ffe8b710e40483487bdfac9dca15c5a.png,https://polesites2.nexlogic.ph/media/photos/daeb20cf83d24dd3824f9b99b94a0620.png
105450,2026-06-01 13:13:27,Arcenasangelo,Meralco,Q5-5129,Concrete,Double Tubular,102552,14.7067257862516,121.008741553326,Valenzuela Pole Survey,Manila,Valenzuela,maypulang lupa,72,Left,green gate,https://polesites2.nexlogic.ph/media/photos/28a5284430a94ef0813f75aa7faea9d3.png,https://polesites2.nexlogic.ph/media/photos/2ec194465e5346d18551d7692bb2c19a.png,https://polesites2.nexlogic.ph/media/photos/346ceaa7ef714aac8a9bbb8e81c0862f.png
105451,2026-06-01 13:18:09,Arcenasangelo,Meralco,Q5-5129,Concrete,Double Tubular,102553,14.7066777488035,121.008745485476,Valenzuela Pole Survey,Manila,Valenzuela,maypulang lupa,72,Left,green gate,https://polesites2.nexlogic.ph/media/photos/e5dbcac749504ab6bbeb021dbc5c04be.png,https://polesites2.nexlogic.ph/media/photos/5f9396968cb34664964296b11bfe06b0.png,https://polesites2.nexlogic.ph/media/photos/d768a251268048eda6b96eefefa42a70.png
105452,2026-06-01 13:25:35,mbetancor,Meralco,Npt,Concrete,Single Tubular,102554,14.6947383866036,121.010052692053,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Ugong,41,Left,Feliciano bikeshop,https://polesites2.nexlogic.ph/media/photos/d4392353ce094529bae68b14e1cb5b89.png,https://polesites2.nexlogic.ph/media/photos/df410fe7f51d41dab763528f4f7deb30.png,https://polesites2.nexlogic.ph/media/photos/c3ffff4bff234710964432c139417aec.png
105453,2026-06-01 13:24:42,jjuanillas,Meralco,Q5-5132,Concrete,Double Tubular,102555,14.7058465464534,121.008775345104,Valenzuela Pole Survey,metro manila ,valenzuela city ,mapulang lupa ,48,Left,maximum fuel right side ,https://polesites2.nexlogic.ph/media/photos/ff3d10d3dcaf414bb9d64ace0bcf3380.png,https://polesites2.nexlogic.ph/media/photos/a7fcc2f2f89f41d19cc7087554dfc468.png,https://polesites2.nexlogic.ph/media/photos/5e2fecb6fa97482f8d848575e594378e.png
105454,2026-06-01 13:25:25,Arcenasangelo,Meralco,Q5-5153,Concrete,Double Tubular,102556,14.7055435465713,121.008788988868,Valenzuela Pole Survey,Manila,Valenzuela,mapulang lupa,30,Left,"6042
",https://polesites2.nexlogic.ph/media/photos/498b3d4dcff04eeaa3a1bea1f898bcd1.png,https://polesites2.nexlogic.ph/media/photos/188d286276f943f9a5e80d312b5ff31f.png,https://polesites2.nexlogic.ph/media/photos/c486b881d4cf499eb16206736ade5716.png
105455,2026-06-01 13:28:23,mbetancor,Meralco,NPT,Concrete,Double Tubular,102557,14.6947564033015,121.010373386847,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Ugong,41,Right,RoDen Gas Station,https://polesites2.nexlogic.ph/media/photos/fc63761b6bf14e7bb9ab8708acb8fdfe.png,https://polesites2.nexlogic.ph/media/photos/24b83964daf54c3ca33c726ae9b20984.png,https://polesites2.nexlogic.ph/media/photos/9292dc1858fd49f09ce27081b33c4a66.png
105457,2026-06-01 13:30:59,mbetancor,Meralco,P6 826,Concrete,Double Tubular,102559,14.6950142317394,121.010358554335,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Ugong,20,Left,RoDen Gas station,https://polesites2.nexlogic.ph/media/photos/c9783019d8fb4a418dacd9b69c785ba5.png,https://polesites2.nexlogic.ph/media/photos/1218112fc4aa45d295faea399f1ff45e.png,https://polesites2.nexlogic.ph/media/photos/3c23c7d4bb3a4f40a90a0521572e3503.png
105458,2026-06-01 13:33:11,Arcenasangelo,Meralco,Q5-0864,Concrete,Single Tubular,102560,14.7051401,121.0092265,Valenzuela Pole Survey,Manila,Valenzuela,mapulang lupa,52,Left,"center industries
",https://polesites2.nexlogic.ph/media/photos/ccde32765a9547d8b1d89a337b8e1d91.png,https://polesites2.nexlogic.ph/media/photos/93c261ae2c0a4519b5de8a3eb3739992.png,https://polesites2.nexlogic.ph/media/photos/66b11fd4a87842f8a4253a40c1a8b003.png
105459,2026-06-01 13:35:06,mbetancor,Meralco,P5 0101,Concrete,Double Tubular,102561,14.6952093746455,121.010688826127,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Ugong,41,Right,Store,https://polesites2.nexlogic.ph/media/photos/26fc0d4038504b8dbd78e127474c5281.png,https://polesites2.nexlogic.ph/media/photos/6fe3e8e0bdd3402eaf509f3eace618c7.png,https://polesites2.nexlogic.ph/media/photos/179f9001d8684bddb3952137f7ddfa77.png
105460,2026-06-01 13:33:13,jjuanillas,Meralco,833862c,Concrete,None,102562,14.7051689877005,121.008826123636,Valenzuela Pole Survey,metro manila ,valenzuela city ,mapulang lupa ,57,Left,mariemart store,https://polesites2.nexlogic.ph/media/photos/0db166da6a9d4838864c8af5c6b3b3d6.png,https://polesites2.nexlogic.ph/media/photos/30773178e516436f8711c71804d9db30.png,https://polesites2.nexlogic.ph/media/photos/8f590c5ad61f47cb9b914189daae8e97.png
105461,2026-06-01 13:36:39,ssotto,Meralco,NPT,Concrete,Single Tubular,102563,14.7252429670553,120.998848651911,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Lawang Bato,42,Right,"#32
NONE",https://polesites2.nexlogic.ph/media/photos/914639f439b4488c8f3372c626a92152.png,https://polesites2.nexlogic.ph/media/photos/5754473b4e3d45839f800644a252ae18.png,https://polesites2.nexlogic.ph/media/photos/c8d65ffdc5f14b34aec300b2a0e309b1.png
105463,2026-06-01 13:37:15,mbetancor,Meralco,P5-0102,Concrete,Single Tubular,102565,14.6953990329938,121.011239709618,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Ugong,62,Left,hardware,https://polesites2.nexlogic.ph/media/photos/5f9399c6d07347fd90f07642cfaa71bc.png,https://polesites2.nexlogic.ph/media/photos/c5bf3f19dc6c4c95969db52180b1a4ae.png,https://polesites2.nexlogic.ph/media/photos/d6bd24811b24425cb99612fbcfe8426c.png
105464,2026-06-01 13:37:46,jesoliman,Meralco,npt,Concrete,Double Tubular,102566,14.7253461953844,120.998518762079,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),29,Right,33)ALONG P. JACINTO ST.BESIDE J&T PHILASIA ,https://polesites2.nexlogic.ph/media/photos/e0864a0a2d984eec9682578411dcc6ae.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/d773703a82bc4e0cba6253d2b07058c3.png
105465,2026-06-01 13:38:11,Arcenasangelo,Meralco,R5-0619,Concrete,Single Tubular,102567,14.7052605956525,121.009701584463,Valenzuela Pole Survey,Manila,Valenzuela,mapulanglupa,49,Left,tapat Junkshop,https://polesites2.nexlogic.ph/media/photos/c270e97f2e4540d1894367e53dc59295.png,https://polesites2.nexlogic.ph/media/photos/0a0320d3ddcf459eb0bb6e9e9709b94a.png,https://polesites2.nexlogic.ph/media/photos/fcb19f0d7e4845258794e00a6ad5b55d.png
105466,2026-06-01 13:40:23,ssotto,Meralco,s5-5159,Concrete,Double Tubular,102568,14.7254036739928,120.998350863042,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Lawang Bato,36,Right,"#34
phil asia",https://polesites2.nexlogic.ph/media/photos/a8abf3954f9848e7802c1fd9502c34e1.png,https://polesites2.nexlogic.ph/media/photos/6d839704f8c84b579c84846ff3e820c8.png,https://polesites2.nexlogic.ph/media/photos/8bf87c2df06b447d9c43fee8674ad7cb.png
105467,2026-06-01 13:40:55,mbetancor,Meralco,NPT,Concrete,Double Tubular,102569,14.6955610808288,121.011702970645,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Ugong,57,Left,SilvestreLazaro Elementary School,https://polesites2.nexlogic.ph/media/photos/5444904c1dde4b388f8519e324c55066.png,https://polesites2.nexlogic.ph/media/photos/1df1f3a20c404be3b39fec50373b1ed8.png,https://polesites2.nexlogic.ph/media/photos/537c2fe462ce452898819770dfa0d36a.png
105468,2026-06-01 13:41:24,jesoliman,Meralco,npt,Concrete,Double Tubular,102570,14.7253967494639,120.997959839873,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Canumay East (Canumay),37,Right,35)ALONG P. JACINTO ST,https://polesites2.nexlogic.ph/media/photos/b2a8b6db2e2d44db9ffa92265f99fbe2.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/d66764473ed54be6999a422773c1d49a.png
105469,2026-06-01 13:42:51,Joanadelacruz,Meralco,q6 5185,Concrete,None,102571,14.700895979778,121.011527551441,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,barangay ugong,00,Right,along que balag beside pacio store,https://polesites2.nexlogic.ph/media/photos/d98e86c464c447ed909f30c1dfb71fee.png,https://polesites2.nexlogic.ph/media/photos/3c02aac1431c4064a6b31e5e6021d2fd.png,https://polesites2.nexlogic.ph/media/photos/3e273d37d4814c50899d90451dd97a8d.png
105470,2026-06-01 13:43:01,ssotto,Meralco,NPT,Concrete,Single Tubular,102572,14.7254042082801,120.997850856416,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Lawang Bato,14,Right,"#36
junk shop",https://polesites2.nexlogic.ph/media/photos/9cf686b75eab4860b2ac3e8c0bf7da5c.png,https://polesites2.nexlogic.ph/media/photos/0bf4d9745b014225bb7bf6a782a3016b.png,https://polesites2.nexlogic.ph/media/photos/f2b492091fd74058957dae33e5939971.png
